Comment,Designator,Footprint,LCSC
100n,"C292,C293,C294,C295,C296,C297,C298,C299,C3,C300,C301,C302,C303,C304,C305,C306,C307,C308,C309,C310,C311,C312,C313,C314,C315,C316,C317,C318,C319,C320,C321,C322,C323,C324,C325,C326,C327,C328,C329,C33,C330,C331,C332,C333,C334,C335,C336,C337,C338,C339,C34,C340,C341,C342,C343,C344,C345,C346,C347,C348,C349,C35,C350,C351,C352,C353,C354,C355,C356,C357,C358,C359,C36,C360,C361,C362,C363,C364,C365,C366,C367,C368,C369,C37,C370,C371,C372,C373,C374,C375,C376,C377,C378,C379,C38,C380,C381,C382,C383,C384,C385",C_0402_1005Metric,C307331
100n,"C386,C387,C388,C389,C39,C390,C391,C392,C393,C394,C395,C396,C397,C398,C399,C4,C40,C400,C401,C402,C403,C404,C405,C406,C407,C408,C409,C41,C410,C411,C412,C413,C414,C415,C416,C417,C418,C419,C42,C420,C421,C422,C423,C424,C425,C426,C427,C428,C429,C43,C430,C431,C432,C433,C434,C435,C436,C437,C438,C439,C44,C440,C441,C442,C443,C444,C445,C446,C447,C448,C449,C45,C450,C451,C452,C453,C454,C455,C456,C457,C458,C459,C46,C460,C461,C462,C463,C464,C465,C466,C467,C468,C469,C47,C470,C471,C472,C473,C474,C475,C476",C_0402_1005Metric,C307331
100n,"C477,C478,C479,C48,C480,C481,C482,C483,C484,C485,C486,C487,C488,C489,C49,C490,C491,C492,C493,C494,C495,C496,C497,C498,C499,C50,C500,C501,C502,C503,C504,C505,C506,C507,C508,C509,C51,C510,C511,C512,C513,C514,C515,C516,C517,C518,C519,C52,C520,C521,C522,C523,C524,C525,C526,C527,C528,C529,C53,C530,C531,C532,C533,C534,C535,C536,C537,C538,C539,C54,C540,C541,C542,C543,C544,C545,C546,C547,C55,C56,C57,C58,C59,C6,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C7,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C8,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C9,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99",C_0402_1005Metric,C307331
SW_Push,"SW1,SW2,SW3",SW_Push_1P1T_XKB_TS-1187A,C318884
TLV9062xD,"U6,U7",SOIC-8_3.9x4.9mm_P1.27mm,C398355
AudioJack4,J7,Jack_3.5mm_PJ320D_Horizontal,C431535
ZTS6216,U4,ZTS6216,C481302
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C50430
USB_B_Micro,J8,USB_Micro-B_Molex-105017-0001,C505111
1u,"C17,C18,C549",C_0402_1005Metric,C52923
XC6206PxxxMR,U3,SOT-23-3,C5446
W25Q32JVZP,U1,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,C571260
Conn_01x06,J11,PinHeader_1x06_P2.54mm_Vertical,
Conn_01x06,J10,PinHeader_1x06_P2.54mm_Vertical,
MountingHole,H6,MountingHole_2.2mm_M2,
MountingHole,H5,MountingHole_2.2mm_M2,
MountingHole,H4,MountingHole_2.2mm_M2,
MountingHole,H3,MountingHole_2.2mm_M2,
MountingHole,H2,MountingHole_3.2mm_M3,
MountingHole,H1,MountingHole_3.2mm_M3,
Conn_01x04,J4,PinSocket_1x04_P2.54mm_Vertical,
Conn_01x02,J5,PinSocket_1x02_P2.54mm_Vertical,
Conn_01x03,J2,PinSocket_1x03_P2.54mm_Vertical,
SolderJumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
TestPoint,TP7,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x02,J3,PinSocket_1x02_P2.54mm_Vertical,
TestPoint,TP4,PinHeader_1x01_P2.54mm_Vertical,
TC2030-IDC_ESP,J9,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,
TestPoint,TP3,PinHeader_1x01_P2.54mm_Vertical,
DNS,R34,R_0805_2012Metric,
TestPoint,TP5,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP2,PinHeader_1x01_P2.54mm_Vertical,
SolderJumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
DNS,R1,R_0402_1005Metric,
TestPoint,TP6,PinHeader_1x01_P2.54mm_Vertical,
ESP32-C3-MINI-1,U9,ESP32-C3-MINI-1,
TestPoint,TP1,PinHeader_1x01_P2.54mm_Vertical,
SolderJumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
